charge_id,charge_period,provider,billing_account,subaccount,service,resource_id,owner,environment,cost_pool,consumed_quantity,consumed_unit,list_cost,contracted_cost,billed_cost,effective_cost,currency,business_units,successful_transactions,availability_pct,latency_p99_ms
chg-001,2026-07,AWS,payer-01,prod-payments,Compute,vm-pay-01,payments,prod,direct,720,hours,1500,1300,1200,1200,USD,2500000,4995000,99.97,220
chg-002,2026-07,AWS,payer-01,prod-payments,Database,db-pay-01,payments,prod,direct,720,hours,1000,850,800,800,USD,2500000,4995000,99.97,220
chg-003,2026-07,AWS,payer-01,prod-payments,ObjectStorage,bucket-pay-01,payments,prod,direct,5000,GB-month,180,160,150,150,USD,2500000,4995000,99.97,220
chg-004,2026-07,Azure,billing-02,prod-search,Compute,vmss-search-01,search,prod,direct,720,hours,1100,950,900,900,USD,1200000,2997000,99.96,245
chg-005,2026-07,GCP,billing-03,prod-search,Kubernetes,gke-search-01,search,prod,direct,720,hours,1350,1150,1100,1100,USD,1200000,2997000,99.96,245
chg-006,2026-07,AWS,payer-01,shared-platform,Kubernetes,cluster-shared-01,,prod,shared,720,hours,600,600,600,600,USD,0,0,100,0
chg-007,2026-07,Azure,billing-02,shared-observability,Observability,logs-shared-01,,prod,shared,8000,GB,400,400,400,400,USD,0,0,100,0
chg-008,2026-07,AWS,payer-01,prod-payments,NetworkEgress,egress-pay-01,payments,prod,direct,12000,GB,320,310,300,300,USD,2500000,4995000,99.97,220
chg-009,2026-07,GCP,billing-03,prod-search,NetworkEgress,egress-search-01,search,prod,direct,10000,GB,270,260,250,250,USD,1200000,2997000,99.96,245
chg-010,2026-07,AWS,payer-01,prod-payments,BlockStorage,vol-unused-01,payments,prod,direct,1000,GB-month,120,120,120,120,USD,0,0,100,0
chg-011,2026-07,AWS,payer-01,shared-finance,Support,support-01,,shared,shared,500,USD,500,500,500,500,USD,0,0,100,0
chg-012,2026-07,AWS,payer-01,shared-finance,Credit,credit-01,,shared,adjustment,1,credit,0,0,-100,-100,USD,0,0,100,0
